feature,n_total,n_zero,n_null,n_nonzero,zero_fraction,null_fraction,nonzero_fraction,nunique,min,max,mean,std,dtype,source_connector
phylop_score,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,PhyloP
eve_score,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,EVE(stub)
gene_constraint_oe,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,gnomAD-constraint
gene_is_constrained,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,gnomAD-constraint
has_uniprot_annotation,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UniProt
n_known_pathogenic_protein_variants,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UniProt
gtex_is_eqtl,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
gtex_min_eqtl_pval,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
gtex_max_abs_effect,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
codon_position,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,VEP(codon)
dbsnp_af,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
omim_n_diseases,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
omim_is_autosomal_dominant,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
clingen_validity_score,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
hgmd_is_disease_mutation,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
hgmd_n_reports,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
gnn_score,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,GNN
maxentscan_score,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
dist_to_splice_site,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
exon_number,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
is_canonical_splice,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
alphafold_plddt,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
solvent_accessibility,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
secondary_structure_context,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
dist_to_active_site,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
af_1kg_afr,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
af_1kg_eur,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
af_1kg_eas,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
af_1kg_sas,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
af_1kg_amr,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,UNKNOWN
finngen_af_fin,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,FinnGen
finngen_af_nfsee,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,FinnGen
finngen_enrichment,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,FinnGen
esm2_delta_norm,1700687,1700687,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,Float64,ESM-2(stub)
af_raw,1700687,0,0,1700687,0.0,0.0,1.0,443838,-0.1443084153229534,12.740824367071276,0.003379623769319914,1.0108613739226382,Float64,gnomAD
af_log10,1700687,0,0,1700687,0.0,0.0,1.0,443838,-0.9696682472965312,3.0630420806780037,0.005079346673071429,1.0046713807499024,Float64,gnomAD
af_is_absent,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.8561401147885878,1.1680331089811584,-0.0013200032432714095,0.9997935514807369,Float64,UNKNOWN
af_is_ultra_rare,1700687,0,0,1700687,0.0,0.0,1.0,2,-2.534624053997642,0.394535828073906,-0.006881156894524582,1.007313024416791,Float64,UNKNOWN
af_is_rare,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.2465466067573813,4.0560282420924505,0.003438267569611005,1.0065221265191326,Float64,UNKNOWN
af_is_common,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.20955687746155627,4.771974139495626,0.004647371609002679,1.0105356257163418,Float64,UNKNOWN
ref_len,1700687,0,0,1700687,0.0,0.0,1.0,1601,-0.026333463613733094,76.98073994523283,-0.000578984838225218,0.979150221869249,Float64,derived
alt_len,1700687,0,0,1700687,0.0,0.0,1.0,459,-0.014260854593987916,241.20684913524653,-0.0001927535494506086,1.023221334833988,Float64,derived
len_diff,1700687,0,0,1700687,0.0,0.0,1.0,1749,-0.029114049595935203,74.5453954829372,-0.0005734174724093166,0.9848400095917618,Float64,derived
is_snv,1700687,0,0,1700687,0.0,0.0,1.0,2,-2.58712222131008,0.38652986386302807,0.003321498305533326,0.9963334218805844,Float64,derived
is_insertion,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.21227656337328774,4.710835638701681,-0.001944850665090895,0.9956142700853948,Float64,derived
is_deletion,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.30465392373096134,3.282413000802497,-0.0025128848805332743,0.9962487155531933,Float64,derived
is_indel,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.3832155945056401,2.609497145569012,-0.0032787719176047255,0.9963384785925059,Float64,derived
consequence_severity,1700687,0,0,1700687,0.0,0.0,1.0,7,-1.0342458697629253,2.685193117107431,-0.006571283938243301,0.9985533913054929,Float64,VEP
is_loss_of_function,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.3401984559857446,2.9394607247773727,-0.0037719283300323408,0.9950789535472139,Float64,VEP
is_missense,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.384308528533745,2.6020760034009847,-0.00020214158545019345,0.9997760968535134,Float64,VEP
is_synonymous,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.6704829721812523,1.491462186946739,-0.0067250136488670054,0.9972132482532121,Float64,VEP
is_splice,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.17480154992898328,5.7207730732723485,-0.0022141907084438674,0.9938389404314172,Float64,VEP
in_coding,1700687,0,0,1700687,0.0,0.0,1.0,2,-1.0955744583961144,0.9127631557456787,-0.008798894789033555,1.0007655598425986,Float64,VEP
cadd_phred,1700687,0,0,1700687,0.0,0.0,1.0,11025,-2.4063277381104555,11.030837123485421,-0.006623295339081995,0.9898090767986935,Float64,dbNSFP/CADD
sift_score,1700687,0,0,1700687,0.0,0.0,1.0,1001,-3.2992557496625468,3.7428960677392413,5.902611762561663e-6,0.9995321614251091,Float64,dbNSFP/SIFT
polyphen2_score,1700687,0,0,1700687,0.0,0.0,1.0,1001,-3.1489513162852956,3.1437090095037825,-0.0011546233911463321,0.9995392992050934,Float64,dbNSFP/PolyPhen
revel_score,1700687,0,0,1700687,0.0,0.0,1.0,1001,-3.7740666117866373,4.028981284331086,-0.001531165126165715,1.0005495540691889,Float64,dbNSFP/REVEL
gerp_score,1700687,0,0,1700687,0.0,0.0,1.0,4766,-6.264284453688323,2.740293714555379,-0.005913134249340455,0.99314877576773,Float64,dbNSFP/GERP
alphamissense_score,1700687,0,0,1700687,0.0,0.0,1.0,9716,-3.5105273774907353,3.7601838988562477,-0.0020085513669981588,0.9995428166684938,Float64,AlphaMissense
splice_ai_score,1700687,0,0,1700687,0.0,0.0,1.0,92,-0.2336710176003065,5.935233067006394,-0.0015822813051762285,0.9951817805924278,Float64,SpliceAI
cadd_high,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.390785364915708,2.55894946376945,-0.004484570011017619,0.9951166701468005,Float64,dbNSFP/CADD
sift_deleterious,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.2513147068668143,3.979074732502447,-0.0008176206291691042,0.9984748490595169,Float64,dbNSFP/SIFT
polyphen_probably_damaging,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.22930517556490432,4.3610005641453675,-0.0011484750765434271,0.9976242363908601,Float64,dbNSFP/PolyPhen
revel_pathogenic,1700687,0,0,1700687,0.0,0.0,1.0,2,-3.3520467740284325,0.29832519275923397,-0.002037014934695374,1.0031036430453295,Float64,dbNSFP/REVEL
n_tools_pathogenic,1700687,0,0,1700687,0.0,0.0,1.0,5,-1.723791329875825,4.219711385310207,-0.0037471231947634235,0.9974574799142626,Float64,derived(composite)
n_pathogenic_in_gene,1700687,0,0,1700687,0.0,0.0,1.0,445,-0.4370540095763423,5.0187977132103825,-0.014943965094753452,0.9836048033253166,Float64,ClinVar(derived)
gene_has_known_disease,1700687,0,0,1700687,0.0,0.0,1.0,2,-3.4485590972917994,0.28997618187413793,0.006960281210760272,0.988922395443279,Float64,ClinVar(derived)
gtex_max_tpm,1700687,0,0,1700687,0.0,0.0,1.0,6,-0.09174622441119236,16.09474478824776,0.009637810907964105,0.9108250502939775,Float64,UNKNOWN
gtex_n_tissues_expressed,1700687,0,0,1700687,0.0,0.0,1.0,4,-0.1077332296841583,9.282187148122281,0.0032739823976322678,0.951231828022546,Float64,UNKNOWN
gtex_tissue_specificity,1700687,0,0,1700687,0.0,0.0,1.0,6,-0.10732166632087352,13.27308137468095,0.11590575046438674,1.6119450810063707,Float64,UNKNOWN
lovd_variant_class,1700687,0,0,1700687,0.0,0.0,1.0,4,-0.013421502527977119,83.24273171267748,0.0007875191619125447,1.036838654459424,Float64,LOVD
is_autosome,1700687,0,0,1700687,0.0,0.0,1.0,2,-4.569830022325252,0.2188265198299812,-0.005459569771088892,1.0117931617886116,Float64,derived
is_sex_chrom,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.21568760205981607,4.636335099699762,0.006382504349865398,1.0139894822361075,Float64,derived
is_mitochondrial,1700687,0,0,1700687,0.0,0.0,1.0,2,-0.03526461145087661,28.357040070978634,-0.004963895917324835,0.9270326420797824,Float64,derived
pli_score,1700687,0,0,1700687,0.0,0.0,1.0,11906,-0.6473591759499234,1.6362208064504866,0.0002907035550705433,0.9999975609702141,Float64,gnomAD-constraint
loeuf,1700687,0,0,1700687,0.0,0.0,1.0,1910,-1.916513832816917,3.259839643796925,0.001510670465547223,0.9991803567360555,Float64,gnomAD-constraint
syn_z,1700687,0,0,1700687,0.0,0.0,1.0,15296,-6.968255605671355,3.679183262378768,-0.004715353320973676,0.9906116001755078,Float64,gnomAD-constraint
mis_z,1700687,0,0,1700687,0.0,0.0,1.0,14960,-6.422460541106064,5.399215678698011,-0.0024230193007933735,0.9696204321940888,Float64,gnomAD-constraint
