feature,mean_importance
n_pathogenic_in_gene,464.3489391463648
loeuf,273.4926443251791
syn_z,246.5566989638026
mis_z,234.09563699119235
consequence_severity,204.9923873437624
af_raw,185.96752914141484
cadd_phred,169.32737633854808
pli_score,143.6351668606713
revel_score,140.71673678032303
alphamissense_score,123.96984369703466
af_log10,120.53653348604996
splice_ai_score,119.90941634729543
gerp_score,96.3066647475624
len_diff,74.97652521206851
polyphen2_score,57.65896201660259
sift_score,52.28129297665431
ref_len,46.662266682792534
alt_len,42.27302914914661
is_snv,31.86138763045338
is_autosome,28.8526416673732
n_tools_pathogenic,28.052826606520227
is_synonymous,23.283431168731443
gene_has_known_disease,16.709557582216984
in_coding,14.462688016903206
is_missense,10.217900773213357
is_loss_of_function,9.252622569075468
is_sex_chrom,8.625323973251842
is_mitochondrial,8.011845335290108
gtex_max_tpm,6.401981330996408
cadd_high,6.0825199442186095
af_is_absent,4.789993153581425
is_indel,4.261959646506339
is_splice,3.828488670046897
revel_pathogenic,3.4235692430906726
af_is_ultra_rare,3.1153755829357026
is_deletion,3.0224016807106313
gtex_tissue_specificity,2.201532718918419
polyphen_probably_damaging,1.4010560902298843
af_is_rare,1.2127720479811983
sift_deleterious,1.2057585753196431
is_insertion,1.0137887456743426
gtex_n_tissues_expressed,1.000559334826497
lovd_variant_class,0.40011020037497813
af_is_common,0.20025750849006005
eve_score,0.0
phylop_score,0.0
codon_position,0.0
gtex_max_abs_effect,0.0
gtex_min_eqtl_pval,0.0
gtex_is_eqtl,0.0
n_known_pathogenic_protein_variants,0.0
gene_constraint_oe,0.0
gene_is_constrained,0.0
has_uniprot_annotation,0.0
hgmd_is_disease_mutation,0.0
hgmd_n_reports,0.0
gnn_score,0.0
maxentscan_score,0.0
clingen_validity_score,0.0
omim_is_autosomal_dominant,0.0
dbsnp_af,0.0
omim_n_diseases,0.0
alphafold_plddt,0.0
is_canonical_splice,0.0
exon_number,0.0
dist_to_splice_site,0.0
solvent_accessibility,0.0
secondary_structure_context,0.0
dist_to_active_site,0.0
af_1kg_afr,0.0
af_1kg_amr,0.0
af_1kg_sas,0.0
af_1kg_eas,0.0
af_1kg_eur,0.0
esm2_delta_norm,0.0
finngen_enrichment,0.0
finngen_af_nfsee,0.0
finngen_af_fin,0.0
