n,null_pct,n_unique,dtype,unhashable,zero_pct,min,max,mean,std,degenerate,file,column
304711,0.0,304711,object,False,,,,,,,meta_test.parquet,variant_id
304711,0.0,1,object,False,,,,,,CONSTANT,meta_test.parquet,source_db
304711,0.0,25,object,False,,,,,,,meta_test.parquet,chrom
304711,0.0,276488,int64,False,0.0,1719.0,248856393.0,75686589.8575995,59170068.151887715,,meta_test.parquet,pos
304711,0.0,3539,object,False,,,,,,,meta_test.parquet,gene_symbol
304711,100.0,0,object,False,,,,,,ALL_NULL,meta_test.parquet,transcript_id
304711,0.0,4,object,False,,,,,,,meta_test.parquet,pathogenicity
304711,32.644,115193,float64,False,3.916,0.0,1.0,0.01889217806151005,0.10028662458331557,,meta_test.parquet,allele_freq
304711,0.0,6,object,False,,,,,,,meta_test.parquet,clinical_sig
304711,100.0,0,object,False,,,,,,ALL_NULL,meta_test.parquet,protein_change
304711,100.0,0,object,False,,,,,,ALL_NULL,meta_test.parquet,fasta_seq
304711,0.0,304711,object,False,,,,,,,meta_test.parquet,source_id
304711,0.0,239038,object,True,,,,,,,meta_test.parquet,metadata
304711,0.0,624,object,False,,,,,,,meta_test.parquet,ref
304711,0.0,3267,object,False,,,,,,,meta_test.parquet,alt
304711,0.557,17,object,False,,,,,,,meta_test.parquet,consequence
304711,0.0,3,object,False,,,,,,,meta_test.parquet,ReviewStatus
304711,0.0,2,int64,False,85.287,0.0,1.0,0.1471295752368638,0.35423503966643927,,meta_test.parquet,label
304711,0.0,173,int64,False,8.999,0.0,2524.0,220.49735651157982,418.46699575948594,,meta_test.parquet,n_pathogenic_in_gene
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,finngen_af_fin
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,finngen_af_nfsee
304711,0.0,1,float64,False,0.0,1.0,1.0,1.0,0.0,CONSTANT,meta_test.parquet,finngen_enrichment
304711,0.0,999,float64,False,3.089,0.0,1.0,0.46217302296274165,0.15246689386751064,,meta_test.parquet,sift_score
304711,0.0,993,float64,False,2.406,0.0,1.0,0.5017655450574479,0.16969774367928306,,meta_test.parquet,polyphen2_score
304711,0.0,1001,float64,False,0.004,0.0,1.0,0.48407400126677413,0.13817883475520742,,meta_test.parquet,revel_score
304711,0.0,7225,float64,False,0.0,0.001,65.0,16.72892004555136,7.008518227864659,,meta_test.parquet,cadd_phred
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,phylop_score
304711,0.0,3576,float64,False,77.822,-12.3,6.17,0.5943968396250874,2.1302304136869954,,meta_test.parquet,gerp_score
304711,0.0,92,float32,False,90.317,0.0,1.0,0.04068084198386049,0.1659655960712639,,meta_test.parquet,splice_ai_score
304711,0.0,7498,float64,False,0.0,0.0034000000450760126,1.0,0.48367905360827945,0.14600031811433464,,meta_test.parquet,alphamissense_score
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,gtex_max_tpm
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,gtex_n_tissues_expressed
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,gtex_tissue_specificity
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,gtex_is_eqtl
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,gtex_min_eqtl_pval
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,gtex_max_abs_effect
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,codon_position
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,omim_n_diseases
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,omim_is_autosomal_dominant
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,clingen_validity_score
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,dbsnp_af
304711,0.0,1,float64,False,0.0,0.5,0.5,0.5,0.0,CONSTANT,meta_test.parquet,eve_score
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,hgmd_is_disease_mutation
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,hgmd_n_reports
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,maxentscan_score
304711,0.0,1,int64,False,0.0,50.0,50.0,50.0,0.0,CONSTANT,meta_test.parquet,dist_to_splice_site
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,exon_number
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,is_canonical_splice
304711,0.0,1,float64,False,0.0,50.0,50.0,50.0,0.0,CONSTANT,meta_test.parquet,alphafold_plddt
304711,0.0,1,float64,False,0.0,0.5,0.5,0.5,0.0,CONSTANT,meta_test.parquet,solvent_accessibility
304711,0.0,1,int64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,secondary_structure_context
304711,0.0,1,float64,False,0.0,100.0,100.0,100.0,0.0,CONSTANT,meta_test.parquet,dist_to_active_site
304711,0.0,4,int64,False,99.996,0.0,4.0,5.907236693128899e-05,0.010869279843579478,NEAR_CONSTANT(1.0000),meta_test.parquet,lovd_variant_class
304711,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_test.parquet,esm2_delta_norm
304711,0.0,2803,float64,False,4.936,0.0,1.0,0.30443676627950794,0.4493261743734801,,meta_test.parquet,pli_score
304711,0.0,1457,float64,False,0.0,0.041,1.997,0.7687895546928073,0.39537742754564303,,meta_test.parquet,loeuf
304711,0.0,3140,float64,False,4.852,-12.934,7.1892,-0.312875950390173,1.7714200684971702,,meta_test.parquet,syn_z
304711,0.0,3140,float64,False,4.852,-10.0,9.2083,1.4396166917390578,2.4412120597523863,,meta_test.parquet,mis_z
1038974,0.0,1038974,object,False,,,,,,,meta_train.parquet,variant_id
1038974,0.0,1,object,False,,,,,,CONSTANT,meta_train.parquet,source_db
1038974,0.0,25,object,False,,,,,,,meta_train.parquet,chrom
1038974,0.0,940058,int64,False,0.0,15.0,248681894.0,78411163.30581613,58719084.569919,,meta_train.parquet,pos
1038974,0.0,12385,object,False,,,,,,,meta_train.parquet,gene_symbol
1038974,100.0,0,object,False,,,,,,ALL_NULL,meta_train.parquet,transcript_id
1038974,0.0,4,object,False,,,,,,,meta_train.parquet,pathogenicity
1038974,33.941,316430,float64,False,4.037,0.0,1.0,0.01911983885207227,0.10107526966640455,,meta_train.parquet,allele_freq
1038974,0.0,6,object,False,,,,,,,meta_train.parquet,clinical_sig
1038974,100.0,0,object,False,,,,,,ALL_NULL,meta_train.parquet,protein_change
1038974,100.0,0,object,False,,,,,,ALL_NULL,meta_train.parquet,fasta_seq
1038974,0.0,1038974,object,False,,,,,,,meta_train.parquet,source_id
1038974,0.0,819473,object,True,,,,,,,meta_train.parquet,metadata
1038974,0.0,1999,object,False,,,,,,,meta_train.parquet,ref
1038974,0.0,9423,object,False,,,,,,,meta_train.parquet,alt
1038974,0.531,18,object,False,,,,,,,meta_train.parquet,consequence
1038974,0.0,4,object,False,,,,,,,meta_train.parquet,ReviewStatus
1038974,0.0,2,int64,False,85.905,0.0,1.0,0.14094866666538336,0.3479685905805781,,meta_train.parquet,label
1038974,0.0,310,int64,False,10.3,0.0,3219.0,272.59415346293554,618.7982865874574,,meta_train.parquet,n_pathogenic_in_gene
1038974,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,finngen_af_fin
1038974,0.0,1,float64,False,100.0,0.0,0.0,0.0,0.0,CONSTANT;ALL_ZERO,meta_train.parquet,finngen_af_nfsee
